IIIIIZIIIZ	(0.1292351383608052+0j)
ZIIIIIIIIZ	(0.13299820980988164+0j)
IIIIZZIIII	(0.13299820980988164+0j)
ZIIIZIIIII	(0.1292351383608052+0j)
IIIIIZIIXY	-0.0013235459650848477j
IIIIIZIIYY	(0.005980415082433868+0j)
IIIIIZIIXX	(0.005980415082433868+0j)
IIIIIZIIYX	0.0013235459650848477j
ZIIIIIIIXY	-0.004992649733843902j
ZIIIIIIIYY	(0.0011278148162133005+0j)
ZIIIIIIIXX	(0.0011278148162133005+0j)
ZIIIIIIIYX	0.004992649733843902j
IIIXYZIIII	-0.004992649733843902j
IIIYYZIIII	(0.001127814816213301+0j)
IIIXXZIIII	(0.001127814816213301+0j)
IIIYXZIIII	0.004992649733843902j
ZIIXYIIIII	-0.0013235459650848477j
ZIIYYIIIII	(0.005980415082433868+0j)
ZIIXXIIIII	(0.005980415082433868+0j)
ZIIYXIIIII	0.0013235459650848477j
IIIZIIIIZI	(0.09659366167080102+0j)
IIYYIIIXYI	0.000948905837431107j
IIXXIIIXYI	0.000948905837431107j
IIXYIIIYYI	0.000948905837431107j
IIYYIIIYYI	(0.020724315440408283+0j)
IIXXIIIYYI	(0.020724315440408283+0j)
IIYXIIIYYI	-0.000948905837431107j
IIXYIIIXXI	0.000948905837431107j
IIYYIIIXXI	(0.020724315440408283+0j)
IIXXIIIXXI	(0.020724315440408283+0j)
IIYXIIIXXI	-0.000948905837431107j
IIYYIIIYXI	-0.000948905837431107j
IIXXIIIYXI	-0.000948905837431107j
IYZYIIXZYI	0.000948905837431107j
IXZXIIXZYI	0.000948905837431107j
IXZYIIYZYI	0.000948905837431107j
IYZYIIYZYI	(0.020724315440408283+0j)
IXZXIIYZYI	(0.020724315440408283+0j)
IYZXIIYZYI	-0.000948905837431107j
IXZYIIXZXI	0.000948905837431107j
IYZYIIXZXI	(0.020724315440408283+0j)
IXZXIIXZXI	(0.020724315440408283+0j)
IYZXIIXZXI	-0.000948905837431107j
IYZYIIYZXI	-0.000948905837431107j
IXZXIIYZXI	-0.000948905837431107j
YZZYIXZZYI	0.000948905837431107j
XZZXIXZZYI	0.000948905837431107j
XZZYIYZZYI	0.0009489058374311079j
YZZYIYZZYI	(0.020724315440408283+0j)
XZZXIYZZYI	(0.020724315440408283+0j)
YZZXIYZZYI	-0.0009489058374311079j
XZZYIXZZXI	0.0009489058374311079j
YZZYIXZZXI	(0.020724315440408283+0j)
XZZXIXZZXI	(0.020724315440408283+0j)
YZZXIXZZXI	-0.0009489058374311079j
YZZYIYZZXI	-0.000948905837431107j
XZZXIYZZXI	-0.000948905837431107j
IIIIIIIZZI	(0.07722523184275179+0j)
IIZIIIIIZI	(0.09794954728316006+0j)
IIIZIIIZII	(0.09794954728316006+0j)
IIZZIIIIII	(0.07722523184275179+0j)
IIIIIIZIZI	(0.07722523184275179+0j)
IZIIIIIIZI	(0.09794954728316006+0j)
IIIZIIZIII	(0.09794954728316006+0j)
IZIZIIIIII	(0.07722523184275179+0j)
IIIIIZIIZI	(0.07722523184275179+0j)
ZIIIIIIIZI	(0.09794954728316006+0j)
IIIZIZIIII	(0.09794954728316006+0j)
ZIIZIIIIII	(0.07722523184275179+0j)
IIZIIIIZII	(0.1076435203562805+0j)
IYYIIIYYII	(0.005823509923253104+0j)
IXXIIIYYII	(0.005823509923253104+0j)
IYYIIIXXII	(0.005823509923253104+0j)
IXXIIIXXII	(0.005823509923253104+0j)
YZYIIYZYII	(0.005823509923253105+0j)
XZXIIYZYII	(0.005823509923253105+0j)
YZYIIXZXII	(0.005823509923253105+0j)
