IZIZIIXX	(-0.001006353012171505+0j)
IIYYIZYY	(0.0010969552137900004+0j)
IIXXIZYY	(0.0010969552137900004+0j)
IIYYIZXX	(0.0010969552137900004+0j)
IIXXIZXX	(0.0010969552137900004+0j)
IZYYIIYY	(0.0010969552137900004+0j)
IZXXIIYY	(0.0010969552137900004+0j)
IZYYIIXX	(0.0010969552137900004+0j)
IZXXIIXX	(0.0010969552137900004+0j)
YZZYYIZY	(0.00013213822817933623+0j)
XZZXYIZY	(0.00013213822817933623+0j)
YZZYXIZX	(0.00013213822817933623+0j)
XZZXXIZX	(0.00013213822817933623+0j)
YIZYYZZY	(0.00013213822817933623+0j)
XIZXYZZY	(0.00013213822817933623+0j)
YIZYXZZX	(0.00013213822817933623+0j)
XIZXXZZX	(0.00013213822817933623+0j)
IIIZZIIZ	(0.0019128193565367598+0j)
ZIIZIIIZ	(0.0019128193565367598+0j)
IIYYZIIZ	(-0.0010063530121715055+0j)
IIXXZIIZ	(-0.0010063530121715055+0j)
ZIYYIIIZ	(-0.0010497563163800964+0j)
ZIXXIIIZ	(-0.0010497563163800964+0j)
IIIZZIYY	(-0.0010497563163800964+0j)
IIIZZIXX	(-0.0010497563163800964+0j)
ZIIZIIYY	(-0.0010063530121715055+0j)
ZIIZIIXX	(-0.0010063530121715055+0j)
IIYYZIYY	(0.0010969552137899993+0j)
IIXXZIYY	(0.0010969552137899993+0j)
IIYYZIXX	(0.0010969552137899993+0j)
IIXXZIXX	(0.0010969552137899993+0j)
ZIYYIIYY	(0.0010969552137899993+0j)
ZIXXIIYY	(0.0010969552137899993+0j)
ZIYYIIXX	(0.0010969552137899993+0j)
ZIXXIIXX	(0.0010969552137899993+0j)
IYZYZYZY	(0.00013213822817933623+0j)
IXZXZYZY	(0.00013213822817933623+0j)
IYZYZXZX	(0.00013213822817933623+0j)
IXZXZXZX	(0.00013213822817933623+0j)
ZYZYIYZY	(0.00013213822817933623+0j)
ZXZXIYZY	(0.00013213822817933623+0j)
ZYZYIXZX	(0.00013213822817933623+0j)
ZXZXIXZX	(0.00013213822817933623+0j)
IIZIIIZZ	(0.00141975683473271+0j)
IIZZIIZI	(0.00141975683473271+0j)
IYYIIYYZ	(4.3172439618449147e-05+0j)
IXXIIYYZ	(4.3172439618449147e-05+0j)
IYYIIXXZ	(4.3172439618449147e-05+0j)
IXXIIXXZ	(4.3172439618449147e-05+0j)
IYYZIYYI	(4.3172439618449147e-05+0j)
IXXZIYYI	(4.3172439618449147e-05+0j)
IYYZIXXI	(4.3172439618449147e-05+0j)
IXXZIXXI	(4.3172439618449147e-05+0j)
YZYIYZYZ	(4.317243961844901e-05+0j)
XZXIYZYZ	(4.317243961844901e-05+0j)
YZYIXZXZ	(4.317243961844901e-05+0j)
XZXIXZXZ	(4.317243961844901e-05+0j)
YZYZYZYI	(4.317243961844901e-05+0j)
